chapter	from	witness	verdict	context
132	Kirjath	Kirjath	confirm	in the neighbournood of Kirjath jearim which name means
132	jearim	jearim	confirm	the neighbournood of Kirjath jearim which name means Forest
132	hasjhere	has	divergent	word translated resting place hasjhere its proper meaning as
132	Ms	his	divergent	Turn back recede from Ms engagement or fail to
132	iu		nowitness	Ps ix For thee iu thy place as thy
132	foreseen	foreseen	confirm	just in itself but foreseen and provided for Sam
132	rP	ib	divergent	last words in Hebrew rP may be also rendered
132	vor	vs	divergent	counterpart of that in vor and the same with
132	aficc	jc	divergent	or chaplet Compare the aficc avrmv CTifavov of Pet
132	avrmv		nowitness	chaplet Compare the aficc avrmv CTifavov of Pet V
132	CTifavov		nowitness	Compare the aficc avrmv CTifavov of Pet V Some
133	Dil		nowitness	The idiomatic use of Dil also in the last
133	doxim	down	divergent	of Aaron which runs doxim to the edge of
133	iho	the	divergent	a beautiful transition to iho good oil i e
133	Tl		nowitness	repetition of the verb Tl and the strong improbability
133	Antilibanus	Antilibanus	confirm	the lofty heights of Antilibanus See above on Ps
133	Uteralfy	literally	divergent	Even life for evermore Uteralfy life even to eternity
135	makcth		nowitness	the common version he makcth lightnings for the rain
135	sendelh		nowitness	in the Prayer Book sendelh forth lightnings with the
135	OlH		nowitness	usage of the verb OlH which is construed elsewhere
135	luill	will	divergent	of goodness For Jehovah luill judge his people and
135	VH		nowitness	in the future form VH requires it to be
135	csxv		nowitness	lxxvi and compare Ps csxv
136	Egv'pt		nowitness	deliverer of Israel from Egv'pt ver his guide in
136	plm	plural	divergent	but is a superlative plm al qualifying that before
136	u'oters	waters	divergent	the earth above the u'oters for unto eternity is
136	IIK		nowitness	The plural lights Q IIK occurs only here but
136	ybr	for	divergent	mercy To ride literally ybr rules or dominions perhaps
136	Egy		nowitness	or the smiter of Egy t i e the
136	Egj		nowitness	t i e the Egj ptians Hence the plural
136	ptians		nowitness	i e the Egj ptians Hence the plural pronoun
136	rcy		nowitness	eternity is his m rcy As a heritage literally
136	br		nowitness	low estate remembered v br unto eternity is his
136	hm		nowitness	for unto eternity is hm mercy The first verb
137	partaken	partaken	confirm	by one who had partaken of its trials The
137	Chaboras	Chaboras	confirm	Tigris the Euphrates the Chaboras and the Ulai with
137	Ulai	Ulai	confirm	the Chaboras and the Ulai with their tributary branches
137	Switzerland		nowitness	of the mountains of Switzerland or the plains of
137	Switzerland	Switzerland	confirm	plains of Tartary meaning Switzerland or Tartary itself There
137	efi		nowitness	time and as the efi ect of our so
137	ect		nowitness	and as the efi ect of our so doing
137	illous		nowitness	true religion On n illous in the midst of
137	tt		nowitness	is commonly expressed by tt bl a different Hebrew
137	bl		nowitness	commonly expressed by tt bl a different Hebrew verb
138	Hv		nowitness	compare Ps vii xviii Hv lvii ci I will
138	strengthenedsi		nowitness	of the last clause strengthenedsi me with strength in
138	ilxe	the	divergent	low he sees and ilxe haughty from afar he
138	co		nowitness	the low or simply co ordinate and therefore he
139	cio	go	divergent	infinite Whither shall I cio from thy Spirit and
139	Jfl	If	divergent	or make a bed Jfl make sheol my bed
139	icill	I	divergent	wings of day break icill dwell in the end
139	rai	raise	divergent	objects to the translation rai e the wings that
139	IG	in	handsoff	employed by Ezekiel x IG in a way that
139	cxxxvui		nowitness	danger See Isa Ps cxxxvui According to the usual
139	aSect		nowitness	verse does not necessarily aSect the sense of this
139	Psakn		nowitness	my pains and plea Psakn sures and this subjection
139	JN		nowitness	Fearfully literally ear i JN ot hid was my
139	ot		nowitness	literally ear i JN ot hid was my frame
139	Itt	iTi	badwitness	word translated when is Itt hJ the relative pronoun
139	hJ		nowitness	translated when is Itt hJ the relative pronoun and
139	foetus	foetus	confirm	of an embryo or foetus The next difficulty lies
139	Wnlten	Written	divergent	them had really existed Wnlten and formed are then
139	Ues		nowitness	in which the difficulty Ues in the particular expressions
139	Hov	However	divergent	a most valuable privilege Hov ever others may regard
139	ofhlood	of	divergent	man And ye men ofhlood depart from me The
139	aTio	and	divergent	then be strictly parallel aTio take thy name in
139	CTJ		nowitness	gives the Hebrew phrase CTJ D iJ the same
139	iJ		nowitness	Hebrew phrase CTJ D iJ the same sense with
139	PtSyr	t	divergent	with a kindred one PtSyr used by Jeremiah vi
14	apostatised	apostatised	confirm	xxxiii The whole has apostatised together they have putrefied
14	Ux		nowitness	x xxxvi cxl Isa Ux Under the false impression
14	Vaticanus	Vaticanus	confirm	found in the Codex Vaticanus as well as in
14	tmiversal		nowitness	at variance with the tmiversal terms of the preceding
14	J'he	The	divergent	as in Ps xii J'he plcln or counsel of
14	plcln		nowitness	in Ps xii J'he plcln or counsel of the
14	lli	TO'Efl	divergent	poor Some however give lli ri its usual sense
14	ri		nowitness	Some however give lli ri its usual sense of
14	tt	sri	divergent	his people But as tt in every other combination
14	Oy	bjP	divergent	by the optative form Oy of the Hebrew verb
140	DTi		nowitness	is the generic term DTi the T r other
140	ik		nowitness	the individual designation t ik which seem however to
140	TlH		nowitness	use of the verb TlH is justified by Ps
140	sharj		nowitness	XXXV Isa liv They sharj en their tongue as
140	waggon	wagon	variant	its etymology denotes a waggon road a track worn
140	Jlead	Head	divergent	whose power saves me Jlead is preceded by a
140	ony	my	divergent	shelter to or for ony head The day of
140	armour	armour	confirm	of battle literally of armour or of weapons i
140	Coah		nowitness	shall be covered c Coah shall be cast upon
141	vil		nowitness	sense of an e vil matter which last is
141	unintel	unintelligible	divergent	as to be almost unintel Ugible According to the
141	Ugible		nowitness	to be almost unintel Ugible According to the English
141	foreignirom		nowitness	from the words but foreignirom the context Of the
141	Throun	Throion	badwitness	yet to be experienced Throun down among the rocks
141	ypl	pn	divergent	cleaving and the second ypl is expressly used Eccles
141	sjjlitting		nowitness	x in that of sjjlitting wood some interpreters give
141	Adhonai	Adhon	badwitness	points the combination Jehovah Adhonai and the supernumerary H
141	nni		nowitness	the supernumerary H in nni D and HD T
141	HD		nowitness	in nni D and HD T T Keep me
141	otm	own	divergent	wicked fall into their otm traps while I at
142	Engedi	Engedi	confirm	or to that of Engedi Sam xxiv or to
142	hnowest	hast	divergent	within me and thou hnowest my path in the
142	uoy	way	divergent	Ps cxliii in the uoy that I should go
143	hx		nowitness	in Ps XXV H hx The way that I
143	righi		nowitness	not merely to be righi but to be safe
143	TJtou	Thou	divergent	xxiii XXV xxxi cix TJtou wilt quicken me as
143	exxxviii		nowitness	me as in Ps exxxviii In thy righteousness as
144	ffe	He	divergent	perpetuated in the Messiah ffe in whom I trust
144	usL		nowitness	in him I ti usL My people in its
144	fii	first	divergent	and favour With the fii st clause compare Ps
144	hoio	how	divergent	Ps cii ciii Jehovah hoio thy heavens and come
144	cZ		nowitness	The word translated ra cZ is properly a negative
144	xcill	will	divergent	a new song I xcill sing to thee with
144	reeing		nowitness	by a participle at reeing with a noun in
144	heum	hewn	divergent	daughters as corner stones heum for the building of
144	JT'JU	r	divergent	of the Hebrew word JT'JU but its primary sense
144	Kobinson's	Kobinson's	confirm	time of Solomon See Kobinson's Palestine vol i pp
144	pp	pp	confirm	Kobinson's Palestine vol i pp Our garners full affording
144	iin	h	divergent	the Hebrew word ni iin which means external spaces
144	NJ		nowitness	word in question C NJ is applied only to
145	iieows		nowitness	simple change of W iieows p l to faithful
145	TpJ	y	divergent	p l to faithful TpJ as in Ps cxi
145	rhnPi		nowitness	words Tib D and rhnPi are still more alike
145	paid	paid	confirm	xcix The regal honours paid to himself by others
145	ipj		nowitness	verb in the singular ipj the beauty of the
145	u'onders	uwnders	badwitness	the words of thy u'onders I will muse or
145	ghry	glory	divergent	Ps xlv Honour or ghry as in Ps xix
145	micse	muse	divergent	lxv cv I will micse as in Ps lxxvii
145	A'er	v	divergent	means mighty deeds in A'er The memory of thy
145	worlcs	icorhs	divergent	are over all his worlcs All literally the all
145	workt	ivorks	divergent	descent from above His workt the things which he
145	gemnd		nowitness	the force of a gemnd hy making known but
145	icaijs	ways	divergent	Jehovah in all his icaijs and merciful in all
145	equently		nowitness	the rectitude so fi equently ascribed to him Near
145	wvl	loill	divergent	of his fearers he wvl do and their cry
146	Haggai	Haggai	confirm	to the time of Haggai and Zechariah to which
146	rPIl	D	divergent	of the Hebrew word rPIl so that either may
146	ffis	His	divergent	entirely excluding the other ffis thoughts his vain notions
146	dotrn		nowitness	raises up the bowed dotrn Jehovah loves the righteous
146	nj		nowitness	English because the verb nj S is almost confined
147	Ijy	by	divergent	with lamentation or complaint Ijy their frequent allusions to
147	Uv		nowitness	it peace See Isa Uv With the last clause
148	deahags	dealings	divergent	but especially in his deahags with his chosen people
148	hiyn	him	divergent	or shining stars Praise hiyn ye heavens of heavens
148	kviii		nowitness	See above on Ps kviii and compare Deut x
148	oi	Not	divergent	trees and all cedars oi fruitful trees as distinguished
148	tSl		nowitness	The Hebrew word K tSl translated creeping thing has
148	ltt		nowitness	of the Hebrew D ltt which is especially though
149	spiritualising	spiritualizing	variant	to this as a spiritualising explanation of the text
15	olxiToi		nowitness	members of God's family olxiToi ro J soD Walking
15	Horace	Horace	confirm	is that used by Horace integer vitae scelerisque purus
15	vitae	vitae	confirm	used by Horace integer vitae scelerisque purus The next
15	scelerisque	scelerisque	confirm	by Horace integer vitae scelerisque purus The next phrase
15	Dj		nowitness	be represented by Di Dj rejected i e by
15	IH		nowitness	and Vulgate explain J IH to the neighbour and
15	iyi'		nowitness	swear to do evil iyi' TD or to do
15	inean	mean	divergent	here the phrase must inean he hath sworn to
15	secm		nowitness	God's household was itself secm ity against all danger
15	ity		nowitness	household was itself secm ity against all danger Compare
15	lOiQM	above	divergent	For the sense of lOiQM see above on Ps
16	Michtab	Michtab	confirm	secret The similar word Michtab in the title of
16	lQ		nowitness	the first person i lQ for T Q i
16	pre	pre	confirm	viii Pet ii The pre eminence of these over
16	pre	pre	confirm	any original or natural pre eminence but by the
16	DH''	dn	divergent	would mean their idols DH'' as if to suggest
16	IHQ	intt	divergent	supreme affection The verb IHQ in its derived form
16	iu		nowitness	The idea is that iu the Lord the Psalmist
16	moveiji	moved	divergent	hand shall not be moveiji I have set him
16	distiaguished		nowitness	mean the body as distiaguished from the soul or
16	kiii	lxiii	divergent	including both Compare Ps kiii lxxxiv The idea of
16	isible		nowitness	Greek Hades the in isible world or state of
16	in''Dn		nowitness	is a plural form in''Dn the singular TT'DH being
16	TT'DH	pion	divergent	form in''Dn the singular TT'DH being a marginal correction
16	contend	contend	confirm	or keri The Jews contend for the former and
16	HH	rftltti	divergent	has been disputed whether HH is derived from TVi
16	TVi		nowitness	HH is derived from TVi y and means a
16	JlHli	r	divergent	a pit or from JlHli and means corruption Both
16	nnj	nna	badwitness	the clear analogy of nnj which is of a
16	Xy		nowitness	derived from in and Xy The use of this
16	icilt	wilt	divergent	causative and means thou icilt make me know point
16	idth	with	divergent	of eternal joys or idth thy right hand as
17	ceptance		nowitness	as necessary to a ceptance The original expression is
17	CAal	evil	divergent	restraint and when the CAal if there be any
17	ccmverting		nowitness	violates the context by ccmverting the first clause into
17	vdlt	wilt	divergent	I know that thou vdlt hear me It is
17	IDhi		nowitness	I say y from IDhi to say Distinguish thy
17	wieJced	tricked	divergent	the face of the wieJced who have wasted me
17	Unemies		nowitness	wicked of the first Unemies in soul may mean
17	presentdanger	there	divergent	me In this description presentdanger is included whereas if
17	ia		nowitness	yields the same sense ia a more emphatic form
17	meaniug		nowitness	in the land The meaniug of the first words
17	IDD	tpDM	divergent	ideal person The future IDD means that he is
17	malce		nowitness	a causative strictly meaning malce to escape From men
17	ibniD	n'bnto	divergent	wrath The difficult expression ibniD is by some understood
17	ibn	n	divergent	upon it Others give ibn its primary meaning of
17	Mendship		nowitness	and the consciousness of Mendship with him A third
18	pui		nowitness	the execution of his pui poses as an instrument
18	Jericho	Jericho	confirm	i the land and Jericho Josh ii This form
18	stmcture		nowitness	carried out in the stmcture of this psalm one
18	occm		nowitness	ever The verb itself occm s nowhere else in
18	afi	affection	divergent	to denote the reciprocal afi ection of the inferior
18	ection		nowitness	denote the reciprocal afi ection of the inferior party
18	sro		nowitness	being properly expressive of sro yri or parental love
18	yri		nowitness	properly expressive of sro yri or parental love The
18	roch		nowitness	and security so the roch of the second clause
18	Zacharias	Zacharias	confirm	applied to Christ by Zacharias The last term in
18	tlje	the	divergent	not invoke him as tlje one to be praised
18	munber	numbei	divergent	to wicked men whose munber and violence are indicated
18	yiriT		nowitness	of the original verbs yiriT li yjpll A reflexive
18	yjpll		nowitness	original verbs yiriT li yjpll A reflexive or emphatic
18	natm		nowitness	fire are mentioned as natm al concomitants and parallel
18	wa'i	ivas	divergent	by the phrase it wa'i inflamed to him in
18	ahoxd	about	divergent	darkness as his covert ahoxd him his shelter darkness
18	vapom		nowitness	the whole body of vapom s constituting the visible
18	oftvorthlessness	of	divergent	verse to the floods oftvorthlessness in ver and the
18	talce	take	divergent	from above he will talce me he will draw
18	exUv	cxliv	divergent	the parallel passage Ps exUv See also Gen viii
18	Heivillfree	B'	divergent	regarded as another Moses Heivillfree me from my enemy
18	fleeing	fleeing	confirm	in early life when fleeing before Saul see above
18	Andbrought		nowitness	above on ver o Andbrought me out into the
18	tvideplace	needy	divergent	me out into the tvideplace he will save me
18	apostatised	apostatised	confirm	Jehovah and have not apostatised from my God The
18	DrT		nowitness	the similar term T DrT for the comprehensive use
18	hnng	brbig	divergent	lofty eyes thou wilt hnng doicn Another general description
18	doicn		nowitness	eyes thou wilt hnng doicn Another general description of
18	pebple	peojole	divergent	x xxxvii The afflicted pebple means the people of
18	Achilles	Achilles	confirm	Homer's standing description of Achilles See Sam ii Chron
18	ny		nowitness	verb to lie Mi ny is used by Moses
18	kvi	lxvi	divergent	cited but in Ps kvi lxxxi The old word
18	DSTV	nil	divergent	salvation The first phrase DSTV n which is elsewhere
18	TiVdH		nowitness	a kindred phrase T TiVdH vive le roi long
18	le	le	confirm	phrase T TiVdH vive le roi long live the
18	difl'erenee		nowitness	xi But besides the difl'erenee of form in Hebrew
18	pvllD		nowitness	to be praised like pvllD in ver above It
18	Ux		nowitness	expression see below Ps Ux as translated in the
18	OAvn	own	divergent	and thanksgiving to my OAvn people but extend them
18	tv	two	divergent	a correct hypothesis the tv o forms of the
18	inspu	inspired	divergent	are equally authentic and inspu ed
19	stUl	still	divergent	the second is the stUl more glorious revelation of
19	Bavid		nowitness	Musician a Psalm hy Bavid The form of this
19	worJcqf		nowitness	of God and the worJcqf his hands is the
19	co	co	confirm	province or domain is co extensive with the earth
19	co	co	confirm	clause It must be co extensive with the earth
19	frovi	from	divergent	understand Clear thou me frovi hidden ones The word
19	DnTj	is	divergent	ones The Hebrew word DnTj properly denotes proud men
19	refemng	referring	divergent	great transgression as if refemng to some one particular
19	forgiven	forgiven	confirm	of ignorance could be forgiven and the deliberate sins
19	d'C	fyc	divergent	my heart he acceptable d'C It is much more
2	difi	difference	divergent	of the first a difi erence arising partly from
2	erence		nowitness	the first a difi erence arising partly from the
2	nll	will	divergent	e are imagining and nll continue to imagine vanity
2	conferred	conferred	confirm	and especially of those conferred on prophets priests and
2	Herod		nowitness	to the combination of Herod and Pilate Jews and
2	whUe	while	divergent	bands The verb too whUe it really implies the
2	Adhonai		nowitness	as in ver but Adhonai the Hebrew word properly
2	Aiid		nowitness	one another in ver Aiid in his heat i
2	Mai		nowitness	Isa lxiii Hos xi Mai i Kom ix Nor
2	Kom		nowitness	Hos xi Mai i Kom ix Nor will any
2	co	coextensive	divergent	limits are defined as co extensive with the earth
2	klnr		nowitness	the scene And vow klnr s after all that
2	jes		nowitness	and your duty jud jes of the earth A
2	Jdngs	kings	divergent	equivalent or parallel to Jdngs in the first clause
2	icith	with	divergent	sovereign Serve the Lord icith fear religious awe not
2	paid	paid	confirm	whom homage must be paid in order to escape
2	rjcay	way	divergent	and ye lose the rjcay i e the way
20	afibrd		nowitness	bound by covenant to afibrd them aid See below
20	undertaken	undertaken	confirm	thou hast formed and undertaken to execute in God's
20	seerq	seem	divergent	his holy heavens might seerq to mean the heavens
20	Hteraly	literally	divergent	his right hand which Hteraly rendered is the strengths
20	andtve	and	divergent	and these in horses andtve in the name of
20	salvvcmfac	salvumfac	badwitness	save the king Domine salvvcmfac regem But this not
20	regem		nowitness	the king Domine salvvcmfac regem But this not only
20	jjviii		nowitness	See Deut xxxiii Ps jjviii Mat v By taking
21	coiTectness		nowitness	the ancient church The coiTectness of the other may
21	authenticiLy		nowitness	one another's genuineness and authenticiLy Jehovah in'thy strength shall
21	in'thy		nowitness	genuineness and authenticiLy Jehovah in'thy strength shall the king
21	exidt	exult	divergent	salvation how shall he exidt This verse commences the
21	xinto	unto	divergent	heart thou hast given xinto him and the quest
21	withholden	withholden	confirm	his lips hast not withholden Selah The occasion of
21	withholden	withholden	confirm	idea given and not withholden is a favourite Hebrew
21	conferring	conferring	confirm	the divine goodness but conferring or consisting in good
21	Kabbah	Itabbah	badwitness	the Ammonitish king of Kabbah Sam xii but to
21	yinrf	find	divergent	greater than that between yinrf and find out in
21	iky	thy	divergent	At the time of iky presence literally thy face
21	oifruit	of	divergent	The same figurative use oifruit occurs in Hos ix
21	preyail		nowitness	this they shall not preyail because thou shalt make
22	rtiy	my	divergent	deliverance the words of rtiy roaring In this verse
22	Nl		nowitness	descriptive of God's power Nl and may therefore be
22	savedst	savedst	confirm	they trusted and thou savedst them Not only was
22	trere	were	divergent	thee they trusted and trere not ashamed This last
22	xH		nowitness	desperate extremity Compare Isa xH and Sam xxiv A
22	disgi	disgraceful	divergent	despised by them and disgi aceful to them The
22	aceful		nowitness	by them and disgi aceful to them The people
22	tne	me	divergent	at large All seeing tne mock at me they
22	hiyn	him	divergent	him he will save hiyn for he delights in
22	carethfor	carethfor	confirm	upon him for he carethfor you Pet v By
22	bm'den		nowitness	roll i e thy bm'den or thy care upon
22	ysn		nowitness	of the verse is ysn are always applied elsewhere
22	co	correlative	divergent	to make the two co relative and understand the
22	pTie	me	divergent	evil doers have beset pTie piercing my hands and
22	IMS		nowitness	M or IJO for IMS or assume a plural
22	HIO	B	divergent	deny its existence altogether HIO for D lhiD and
22	lhiD		nowitness	altogether HIO for D lhiD and an equally rare
22	IKS	i	divergent	a verb and giving IKS its usual meaning Like
22	ief		nowitness	and looking with gi ief and wonder at his
22	realisation	realization	variant	extreme one The providential realisation of this ideal scene
22	wii	biO	divergent	which the psalm begins wii and to the word
22	TjSt		nowitness	the word hind J TjSt in the title both
22	co	co	confirm	the plural dogs is co extensive in its meaning
22	Ms	his	divergent	I will pay before Ms fearers those who fear
22	ll		nowitness	be satisfied then sh ll praise Jehovah those who
22	yrom		nowitness	in ver which begins yrom thee and ends with
22	facto		nowitness	to govern them de facto not with a providential
22	co	co	confirm	is hereafter to be co extensive with the earth
22	partaken	partaken	confirm	nations Eaten and worshipped partaken of the sacrificial feast
22	Adhonai	Adhonai	confirm	is not Jehovah but Adhonai the divine name properly
22	monopolise		nowitness	even they shall not monopolise the knowledge thus imparted
23	futm	future	divergent	ministers Eph iv The futm e form I shall
23	merelyybr	merelyybr	confirm	his names sake not merelyybr his own sake nor
23	ITiou	Thou	divergent	tokens of his presence ITiou wilt spread be ore
23	bemg	being	divergent	witness my enjoyment without bemg able to disturb it
23	aiienec	fatte	divergent	disturb it Anointed literally aiienec in allusion to the
23	foreseen	foreseen	confirm	had just before confidently foreseen he now describes as
24	symbolise		nowitness	forms was intended to symbolise the doctrine of God's
24	olxov		nowitness	indirectly to the Greek olxov Mivri or inhabited earth
24	Mivri		nowitness	to the Greek olxov Mivri or inhabited earth This
24	Ms	his	divergent	has not lifted up Ms soul to vanity and
24	swoi		nowitness	vanity and has not swoi n to fraud ox
24	Demosthenes	Demosthenes	confirm	are so abundant in Demosthenes and other animated writers
24	SlJi		nowitness	original The precise construction' SlJi HU is found in
24	occvirs	carrying	divergent	T T T T occvirs repeatedly in the sense
24	hiyn	him	divergent	description in ver Seeking hiyn in the singular is
24	nr	nt	handsoff	the simple Hebrew phrase nr D Who is this
24	HT		nowitness	form S in p HT in which the personal
24	Zebaoth	Zebaoth	confirm	more expressive title Jehovah Zebaoth or of Hosts In
24	Mohammed	Mohammed	confirm	of the Universe as Mohammed in the Koran speaks
24	Zebaoth	Zebaoth	confirm	heathenish The phrase Jehovah Zebaoth does not occur in
24	Zebaoth	Zebaoth	confirm	be removed by making Zebaoth itself a proper name
24	aafSauS		nowitness	be favoured by the aafSauS of the Septuagint retained
25	Db'lVp	EbiSfa	divergent	an inadequate translation of Db'lVp and even in the
25	idll	will	divergent	upright is Jehovah therefore idll he guide sinners in
25	IJ		nowitness	common version of D IJ meek is too restricted
25	IJ		nowitness	natural to take D IJ as a description of
25	rin		nowitness	form of the verb rin D is one that
25	jy		nowitness	pronoun at the end jy rr l may possibly
25	rr		nowitness	at the end jy rr l may possibly refer
25	Mai	Mai	confirm	name is great Compare Mai i There is nothing
25	yt		nowitness	phrase much transgression T yt D in Ps xix
25	nrind	mind	divergent	again to recall to nrind the intimate connection between
25	Jceep	keep	divergent	trusted in thee To Jceep is here to keep
25	integritas	integritas	confirm	means completeness or perfection integritas i e freedom from
26	Ppliter	Psalter	divergent	their collocation in the Ppliter makes it not improbable
26	nSmHi		nowitness	than the explanation of nSmHi as a participle and
26	vrill	will	divergent	with hidden men I vrill not go He is
26	TopubHsh		nowitness	admits of several constructions TopubHsh thanksgivings with the voice
27	figui		nowitness	expressed first in a figui ative form as light
27	ative		nowitness	first in a figui ative form as light and
27	Kom	Horn	divergent	expression is imitated in Kom viii The noun TI'Q
27	TI'Q	ri	divergent	Kom viii The noun TI'Q is sometimes used as
27	befallen	befallen	confirm	dangers which have hitherto befallen me the divine protection
27	clause'is		nowitness	expressed in the last clause'is emphatic They themselves not
27	ajid	and	divergent	more pointed and emphatic ajid the absolute use of
27	nSD		nowitness	the absolute use of nSD i in the sense
27	Iioill		nowitness	sacrifices of joyful noise Iioill sing and make music
27	Mij	My	divergent	to thy kind regard Mij help i e the
27	kix	Ixix	divergent	See Ps xxxi xxxviii kix lxxxviii and compare Job
27	spirare	spirare	confirm	and the Latin phrases spirare minas anhelare scelus Unless
27	anhelare	anhelare	confirm	Latin phrases spirare minas anhelare scelus Unless believed or
27	scelus	scelus	confirm	phrases spirare minas anhelare scelus Unless believed or fully
27	looJc	look	divergent	or fully expected to looJc tipon the goodness of
27	tipon		nowitness	fully expected to looJc tipon the goodness of Jehovah
27	yoXl	ffctf'	divergent	of the third verb yoXl are both determined by
28	parlour	parlour	confirm	conversation Uke the English parlour from the French purler
28	eandt	exult	divergent	and my heart shall eandt and by my song
29	Tbte	the	divergent	Tbte essential idea in this
29	Kev		nowitness	in the New Testament Kev iv v xix Peter
29	DN		nowitness	is here used as DN t hi is elsewhere
29	nifestation		nowitness	to one particular ma nifestation of God's majesty to
29	departmre		nowitness	correctly but with a departmre from the idiomatic form
29	Sirion	Sirion	confirm	a calf Lebanon and Sirion like the young of
29	Sirion	Sirion	confirm	anticipation to Lebanon and Sirion This last is the
29	libanus	libanus	confirm	the range of Anti libanus here mentioned simply as
29	xmll	will	divergent	shake the wilderness Jehovah xmll shake wilderness of Kadesh
29	Kadesh	Kadesh	confirm	xmll shake wilderness of Kadesh This is equivalent to
29	Kadesh		nowitness	that the wilderness of Kadesh is here added to
29	oiJy	only	divergent	to eternity There are oiJy two ways in which
29	Dn		nowitness	invariable usage of l Dn to mean Noah's flood
29	ound		nowitness	consolation and a gi ound of hope to true
3	individualised	individualized	variant	it is still further individualised as a conflict between
3	fleeing		nowitness	of David in his fleeing when he fled from
3	jecond		nowitness	verse closes like the jecond and fourth with the
3	Habakkuk	Habakkuk	confirm	in the prophecy of Habakkuk It corresponds to rest
3	thij	thy	divergent	and temporary head On thij people be thy blessing
30	thankftdness		nowitness	which he vows eternal thankftdness ver The occasion and
30	Wc		nowitness	or permitted to re Wc by abandoning me to
30	ot	over	divergent	does not properly mean ot er me but as
30	merrvory	memory	divergent	give thanks to the merrvory of his holiness The
30	Ms	his	divergent	For a moment in Ms wrath life in his
30	inHezekiah's	I	divergent	in Ps lxxxviii and inHezekiah's psalm Isa xxxviii both
30	disorganised	disorganized	variant	Dust the lifeless and disorganised remains of the body
30	dumhy		nowitness	thee and not he dumhy Jehovah my God I
31	peH	performance	divergent	as intended for musical peH ormance in the public
31	ormance		nowitness	intended for musical peH ormance in the public worship
31	deliter		nowitness	ever In thy righteousness deliter me or help me
31	u'ilt	wilt	divergent	thy name's sake thou u'ilt lead me and Conduct
31	rdii		nowitness	nature See above Ps rdii for the meaning of
31	Imees	knees	divergent	the body as the Imees in Ps cix here
31	xms	was	divergent	all my adversaries I xms a reproach mid to
31	magor	magor	confirm	xx and the phrase magor missabib fear round about
31	missabib	missabib	confirm	and the phrase magor missabib fear round about is
31	D''J'IO		nowitness	The predominant usage of D''J'IO is in favour of
32	tiine	time	divergent	out In denotes both tiine and cause while I
32	fij		nowitness	The future in the fij st clause cannot without
32	viidl	vital	divergent	translated moisture i e viidl juice analogous to the
32	confes		nowitness	said I will make confes Bion to Jehovah And
32	TDTl		nowitness	the true sense of TDTl see above on Ps
32	wn		nowitness	eye shall be u wn thee Some regard these
33	etjonologists		nowitness	verb according to the etjonologists originally means to dance
33	Kev		nowitness	in the New Testament Kev V xiv Play well
33	Ms	his	divergent	creatures can succeed against Ms will no opposition of
34	foiTQ	form	divergent	xxxii As to its foiTQ this is the second
34	Abimelech	Abimelech	confirm	disguising his reason before Abimelech and he drove him
34	Achish	Achish	confirm	into the presence of Achish king of Gath from
34	Abimelech	Abimelech	confirm	taste judgment understanding reason Abimelech king's father hereditary sovereign
34	Achish	Achish	confirm	His personal name was Achish Sam xxi I will
34	animo	animo	confirm	as done cordially ex animo The humble as opposed
34	Toung	PSALM	divergent	supplying their own wants Toung lions have lacked and
34	propefly		nowitness	good The first verb propefly means grown poor or
34	Achish	Achish	confirm	which David escaped from Achish as suggested in the
34	Viim	him	divergent	whenever they cry to Viim for help he saves
34	octrine		nowitness	in Isa xxxiv The octrine or promise of this
34	afi		nowitness	proof of which is afi orded by their hatred
34	orded		nowitness	of which is afi orded by their hatred of
35	pei		nowitness	with a promise of pei petual thanksgiving ver jSy
35	petual		nowitness	a promise of pei petual thanksgiving ver jSy David
35	jSy		nowitness	pei petual thanksgiving ver jSy David Oppose Jehovah my
35	contend	contend	confirm	with my strivers or contend with my contenders The
35	UVh	tnb	divergent	passive form however that UVh means to fight its
35	huclder	buckler	divergent	defence The shield and huclder seem to have been
35	cdya	ouyctQiq	divergent	identical with the Scythian cdya ig or battle axe
35	ig		nowitness	with the Scythian cdya ig or battle axe But
35	Tl	ifih	divergent	by the unambiguous form Tl in ver below The
35	afl	affirmation	divergent	a prediction or the afl rmation of a general
35	rmation		nowitness	prediction or the afl rmation of a general truth
35	xcithout		nowitness	me their pit fall xcithout cause they digged for
35	netpit		nowitness	appears to be their netpit i e their pit
35	HKiti	HifciTDa	divergent	is simpler to let HKiti B qualify the verb
35	Tn'm	him	divergent	qualify the verb let Tn'm fall with ruin i
35	eveii	even	divergent	in English by translating eveii the sufferer c But
35	iJ		nowitness	the later word D iJ The last clause is
35	uertt	went	divergent	I went on or uertt about as a mourner
35	ief		nowitness	with the deepest gi ief as for a friend
35	ITfp		nowitness	i The Hebrew word ITfp means squalid dirty in
35	beha	behaviour	divergent	not silent With his beha iour to them in
35	iour		nowitness	silent With his beha iour to them in their
35	D''D	D	divergent	him The obscure word D''D has been variously explained
35	hii		nowitness	criminals and smitten Isa hii i e afflicted But
35	Dy		nowitness	with the cognate form Dy T HD Sam iv
35	HD		nowitness	cognate form Dy T HD Sam iv ix smitten
35	Adhonai		nowitness	is not Jehovah but Adhonai properly expressive of dominion
35	hoio	how	divergent	specially applied to time hoio much time how long
35	sowZ	soul	divergent	xxxiv My lonely solitary sowZ See above on Ps
