vol	page	chapters	suspects	examples
v1	168	9	3	rem mittet falsity
v1	57	introduction	3	Uzziel Ephrem Syrus
v2	34	later-introduction	3	unbiassed Antiochus Epiphanes
v1	234	11	2	Rosenm ller
v1	324	16	2	Tirhakah Esarhaddon
v1	342	18	2	sn pnK
v1	22	2,introduction	2	Hn officio
v1	387	22	2	sttsa Lightfoot
v1	393	22	2	revellers bbx
v1	404	23	2	ft assD
v1	416	23	2	Johovah PTIS
v1	461	27	2	wb pnb
v1	487	28	2	applic kn
v1	494	29	2	necro mancer
v1	499	29	2	tp bi
v1	541	33	2	ipm fugiant
v1	544	33	2	Clerictis Niphates
v1	552	33	2	JST Pellican
v1	555	33,34	2	forgiven Haccohen
v1	596	36	2	rs Tpa
v1	643	38	2	loth ru
v2	53	42	2	nro isn
v2	58	42	2	wn paid
v2	59	42	2	foreseen foresaw
v2	64	42	2	Rosenm ller
v2	78	43	2	Vx tsa
v2	81	43	2	ts Stiari
v2	102	44	2	ff fr
v2	105	44	2	lEJtrj nuin
v2	120	45	2	frjste xfi
v2	122	45	2	itl Tsa
v2	132	46	2	Stiere Vernunft
v2	159	48	2	wana Aramean
v2	172	49	2	cb BBEE
v2	187	49	2	rn ahD
v2	238	52	2	sn issn
v2	286	54	2	pacificum foedus
v2	304	55	2	Rosenm ller
v2	313	56	2	vialls cippi
v2	333	57	2	quiescere Ferdinand
v2	337	58	2	iGyv'i contend
v2	343	58	2	rereward talte
v1	92	6	2	forgiven shechinah
v2	381	60	2	wiedcr Eicbhorn
v2	384	60	2	thcc box
v2	409	62	2	Rosenm ller
v2	419	63	2	rnsn Tipur
v2	426	63	2	Spbl'o yfcia
v2	441	64	2	JXE NJ
v2	453	65	2	nt onr
v2	460	65	2	rnrn rncrvi
v2	469	66	2	of'the cnmal
v1	104	7	2	isjspoj jr
v1	147	8	2	Rosenm ller
v1	50	introduction	2	ot Medo
v1	182	10	1	Oreb
v1	189	10	1	anglice
v1	203	10	1	hd
v1	257	13	1	fiten
v1	325	17	1	Tiglath
v1	363	19	1	s'li'a
v1	368	20	1	Ashdod
v1	384	21	1	niasiBj
v1	386	22	1	Esarhaddon
v1	400	22	1	hang
v1	415	23	1	nssrx
v1	428	24	1	risab
v1	468	27	1	Gese'nius
v1	484	28	1	IPD
v1	55	3	1	bx
v1	511	30	1	mdetis
v1	547	33	1	won't
v1	593	36	1	niixa
v1	613	37	1	pianx
v1	641	38	1	Ahab
v2	4	40	1	rrrn
v2	73	43	1	xis
v2	74	43	1	wellfounded
v2	80	43	1	IJehovah
v2	82	43	1	fwor
v2	86	43	1	pattah
v2	116	45	1	Cyropaedia
v2	204	50	1	foresaw
v2	296	55	1	recognis
v2	334	57	1	an'ia
v2	354	59	1	MtiAe
v1	85	6	1	aggra
v2	369	60	1	pre
v2	404	62	1	salvator
v2	417	63	1	SUJK
v2	434	64	1	His'favour
v2	443	64	1	pre
v2	459	65	1	bidden
v2	463	65	1	tYhsn
v2	486	66	1	ns
v2	498	66	1	pre
v2	499	66	1	newmoon
v1	100	7	1	measure'of
v1	111	7	1	Je
v1	171	9	1	qibna
v2	11	later-introduction	1	Ashtoreth
v2	31	later-introduction	1	Haggai
