vol	page	chapters	suspects	examples
v2	190	49	18	Tis Rosenm ller nst nimis rH noiqcrdv toaov
v2	240	52	18	bip Ynn erheben Stimme allzumal oq iioq avajj
v2	291	54	18	fc Gousset Rosenm ller contend rna rta CBX
v2	324	57	18	drinkoffering Rosenm ller Arnobius lubricatum lapidem olivi unguine
v2	373	60	18	Justi iibi divina Percipit atque Soncin pn wn
v2	375	60	18	fenn Bti inundatio nssiz Strabo axtjniai ln oi
v1	210	10	17	Lachish Aiath Migron Michmash Aiath Hajanam regionem Deir
v1	249	13	17	lusus verborum I'iro vroi concinna allusio etymologiam veritatis
v1	352	19	17	nitt mn wp sericum rrinttj ttJsa nir D'a
v1	38	2,introduction	17	Hk Kn Origen quia excelsus reputatus ipse Oecolampadius
v1	389	22	17	wsttn istb sp sittJ ta'WB KVQOS Caucasus Girgistan
v1	398	22	17	tps eps ndvog novov jp Sophocles doaiv xaxav
v1	48	3	17	BS Piaab pluralis majestaticus ducunt seducunt leyden verleyden
v1	56	3,4,introduction	17	Connubii liceat turaulo scripsisse CATONIS ftW rnaa Schleusner
v1	579	35	17	ISIE nullas aequo animo ferre possunt nbx xia
v1	612	37	17	iy tycs prr TJS Lehrgebaudc Tjr Tx verysame
v2	5	40	17	reveletur iw aoartjQiov tov dsoii Ob qpow h'yovTov
v2	170	49	17	JBSE Tichonius Christo Corpore Scripiura saepius mentionem fieri
v1	83	5	17	quia acutae Arrian ovrag ettotw larana Aug xwi
v2	283	54	17	forsook Rosenm ller tjao Sj der Fluth der
v1	256	13	16	Sr njrt nrj rt OJJS JM JEschylus ndiAuwtov
v1	290	14	16	mentiar iirvTi oipflS tvt pri tvo le antitnesis
v1	302	15	16	Rosenm ller Bethmeon meon Arnon Maein oir rvs
v1	308	15	16	Aurivillius Lightfoot rivorum ccnfluentium Nimrimorum desolationes erunt Nimrah
v1	24	2,introduction	16	t'n Henders fitn ntn yitn Hdwk rvnnxs Hn
v1	420	24	16	psn pxn bnn d'ha diia ds achzei lechzet
v1	439	26	16	laia D'sx cogitatio fixa Einbildung steht gewisser Zusage
v1	440	26	16	fc ico xvQt xvQiog FiVrn PP tr decentia
v1	476	28	16	taumelt mMs judgmentseat njai nsn Dai p'n isbna
v1	42	3,introduction	16	Hk Kn Gro ratione aetatis sed imprudentiae ineptitudinis'
v1	525	30	16	asm JTi sra fnons ibia supplicii strafenden recht
v1	549	33	16	allegorias sequi putet quibus alienus tances Virgil Panduntur
v2	16	40,later-introduction	16	uber rrnn a'way nVcn rvm sapientia hypostatica communicavit
v2	30	40,later-introduction	16	tj Furst WJD moulting nreQocpvqaovaiv assument Rosenm ller
v2	39	41,later-introduction	16	trra thouworm VMQOI mortui estls rs IBS rra
v2	46	42	16	ecce ids avOQ pp asttja tia Hensler Stte
v2	79	43	16	tht ir Fiom praettritum Targuin lonians sisb tnrj
v2	98	44	16	tohn cn Horace Olim tmncus eram ficulnus Quum
v2	254	53	16	Martini Rosenm ller Rosenm ller Der nsttatiS rumour
v2	336	57	16	Cumque hibemis agitatum fluctibus aequor ipso turbidiora exchangintf
v1	98	6	16	Leere rnifsj jg siiliffl gxjgflgian ening faifipa xav
v2	379	60	16	cmrmst bx elende Conjectur ns iij sn Spain
v2	484	66	16	comfortelh yrit der trostef ovdsis tt iK Achilles
v1	144	8	16	Oin tti Bingham's Orig vm Joab Wipn iK
v1	153	8	16	sstja xb poterit avolare cps yy xb Rosenm
v1	261	13	15	Christol brn bn Rem Rosenm ller VTIX bns
v1	287	14	15	CWE nt transmis Rosenm ller lictores aut Schlachtbank
v1	295	14	15	allofthee Cappadocia Cyprus aMcpvl paid Jehoram Ilulatarivy PIU
v1	396	22	15	sepulchre sepulchre sepulchre Joah sepulchres sepulchre sepulchre sepulchre
v1	482	28	15	ittfx csrt pv bifitiu orakel visionis significat vulgo
v1	47	3,introduction	15	justum praedicate beatum preiset Gerechten dicite Pitr sianb
v1	515	30	15	rciri nolloi omnes ftn Tannenbaum nsrn pr tms
v1	516	30	15	ikon asj diu flebis weinen weinen sollst du
v1	517	30	15	dederit siquidem gibt euch dedit yrb panem arctum
v1	550	33	15	yu Tc'y jgnppaiiwn Schriftgelehrten doctus legis parvulorum dialecticus
v1	566	34	15	nra xnjD rp'Vn nn nJ nobiles heroes recolent
v1	601	37	15	RabghaJceh Vist ibi SWB sattr iwin cpn rrDim
v1	629	38	15	Lightfoot Prideaux nsralj evsia TTQO dvarov rd nfQ
v2	10	40,later-preface	15	nsn ptna so'a bs ptrja btiStt filbsB iato
v2	143	47	15	trustedst asch malitia fiduciam habuisti malitia du sicher
v2	211	50	15	allof jjie nemo necessario cogitat Dei dicMQiTixov downfal
v2	244	52	15	Unreines angstliche pedantische Grundsatze dngsdich andpedaniisch rnrn ttnp
v2	271	53	15	contritus nrr xsn nbn Martini ixs nn plcasefi
v2	361	59	15	nxa armour armour armour equipped Jubb fpnn bs
v2	407	62	15	Azubah Shemamah Hephzibah Azubah Hephzibah bsii tbt vth's
v2	450	65	15	Mai sondern WjW ausser Boaz Rosenm ller bs
v1	187	10	14	cs spn wss populum excandescentiae mss rop Aar
v1	221	11	14	odours Hensler Kuinol irmn Vanderpalm Nihil nisi pietatem
v1	344	18	14	darinnen nisten darinnen liegen oi hyperbolical sq Abyssinia
v1	31	2,introduction	14	Hn Hk Pesh efe Pesh Hn hominis virorum
v1	395	22	14	Sochenite Sochen iti amicus regis confi dant counsellor
v1	413	23	14	Jcing ntf inx Jcing QOVO fiaaittmg Qovog av
v1	450	26	14	iaSD rvjra rn ibs rrrrra ibs greai Sprengel
v1	458	27	14	tb inaccura cies tt Schnurrer iss ttss Gousset
