vol	page	chapter	n	suspects
v1	84	5	13	riao→read iiber→wider einem→wine Tjdn→then adspectu→aspect Licht→rich regardera→regarded terre→true mais→this voici→vice avec→save ciel→view d'elle→dwell
v1	151	8	13	as'a→asia xoro→more angustia→augusti rrst→must obscuritas→obscurity nmao→near irna→idea nbsx→ness nbsx→ness ITHSE→thee qisn→zion npix→nail sibax→sinai
v1	169	9	13	lEStb→left komme→some sein→sins ganzes→gaze Volk→holy fcsn→fish Animadv→animal Philol→hill sisb→sins Herzen→here sagen→page iinT→sins irnm→from
v1	201	10	12	ligni→link ligna→link avrav→arab Horace→race numerus→numbers sumus→suits pecuniae→peculiar Ovid→evil numerare→enumerate pecus→ejus prae→page IBIDE→hide
v1	349	19	12	rvoix→void Sethos→sets Sioi→show dominationis→domination taisSx→tails pluralis→plural Sethos→sets Sargon→pardon Ochus→thus reine→wine nuja→aura Moeris→doers
v1	354	19	12	Alexandria→alexandrian elati→late quoad→quod angulo→angel isnn→isai Tanis→this extremae→extreme orae→true spiritualis→spiritual Aegypti→egypt spiritum→spirit nisnn→nine
v1	33	2	12	Meer→been Carthage→carnage Hensler→hender iStt→into Spain→span Baetis→bats pictae→picture Thesauro→thesaurus omne→wine visu→view Carthage→carnage Tunis→this
v1	466	27	12	tion→then lapj→last Saepe→sake mihi→mine mirari→mirage contingit→continuity homines→dominus imputare→impure Spiritui→spirit sibi→sins sapiens→happens nollet→noble
v1	43	3	12	portera→potter Fiirst→firs wiithet→writhe antea→ants erat→that domesticum→domestic patris→parts cognatum→cognate Hendew→hence Einen→wine seinen→seen Pesh→less
v1	46	3	12	habita→habit hominum→dominus Ansehn→unseen dant→part bonum→bond Burney→burn Omiah→omit ipsis→ibis faciunt→faint thaten→then sich→sins Comm→room
v1	508	30	12	tixa→time saJce→sake incon→into omnem→ones complures→compares heroes→here npisi→noise leacna→lean violentus→violent Lowe→more nrsx→ness Bisa→isai
v1	607	37	12	Gozan→zoan Haran→earn Rezeph→zeph DSmx→dumb vibx→view iicx→sick Gozan→zoan Haran→earn Carrae→care Crassus→classes Rezeph→zeph abib→aben
v2	94	44	12	nisi→isai demens→dens taixa→tail aixa→lisa d'nn→down sint→sins issa→idea Virgil→virgin Georg→glory itti→into sese→were magna→many
v2	256	53	12	Strabo→straw regno→rent cujus→ejus nulla→full hominum→dominus decor→door nulla→full magnificentia→magnificent fidt→foot wuEr→were loolc→wool Masorah→masora
v2	265	53	12	exactus→exact pocna→point respondeo→response sifTi→lift quia→suit ipse→case voluit→vomit xisri→isai feia→feet nnsp→ness tonsus→tongs Christus→christ
v2	364	59	12	noob→room venerit→benefit flumus→flames Domini→doing cogit→omit njrn→turn noob→room Polel→sole quia→suit veniet→denied hostis→host Domini→doing
v2	487	66	12	nisaa→isai rpna→rank undertaken→undertakes hinten→hint hinten→hint vQOis→quis irix→iron quidam→quid unatoj→unto rovf→room rotV→both rupeds→ruled
v1	177	9	12	Fiirst→firs Argen→aben Bosen→been nsun→noun Wesen→were Castellus→cappellus elevent→event Parchon→pardon nixa→next fumi→full tsin→this niso→also
v1	184	10	11	Verus→very arceant→accent judicio→judicial efficiant→efficient cadant→cant causa→case causae→case Avhom→whom naoia→asia sonn→sins fleeing→seeing
v1	191	10	11	Idov→idea rpaxs→rams idolis→idol inaa→idea Chebar→hear Oreb→more Thesauro→thesaurus ipSK→task PiTi→with ipsx→lips oflooking→looking
v1	209	10	11	Oreb→more Oreb→more Horace→race Syro→tyre Cyprus→cyrus EStt→best tfAe→true EttS→acts psoj→poor jEtti→wette jEtti→wette
v1	210	10	11	Aiath→with Migron→iron Aiath→with regionem→region Deir→year Diwan→down Migron→iron Migron→iron Migron→iron Gibeah→sibmah Jeba→jews
v1	249	13	11	lusus→less vroi→from allusio→allusion etymologiam→etymological genere→gene Domini→doing divinitus→divinity constitutae→constitute quibus→quis judicium→judicial exercet→exert
v1	250	13	11	iBiaa→ibis omne→wine mortalium→mortality Ovid→evil illis→ibis Melech→elect Livy→give capere→care metum→metal fshb→fish internum→internal
v1	279	14	11	isi'a→asia ISfte→site ista→data oitn→with Meru→very Hindoo→hinnom OQTJ→oath nsia→asia Hindoo→hinnom iBst→must Berge→were
v1	331	17	11	looti→foot erectas→erect operi→over manuum→tantum hiBSa→lisa Selden→seen miax→mean assn→aben fiati→fate aprica→prima statuas→states
v1	351	19	11	niis→this ryra→ezra rvhs→rams rivi→give fonte→gone fishermen→fisheries hooJc→hook fishermen→fisheries fishermen→fisheries tobac→total fishermen→fisheries
v1	369	20	11	Sargon→pardon Sargon→pardon Esdud→esau Sargon→pardon Sargon→pardon Marsham→marshy Sargon→pardon Sargon→pardon Sargon→pardon Aqva→asia Sargon→pardon
v1	549	33	11	allegorias→allegorical putet→puts quibus→quis tances→takes Virgil→virgin portae→mortal juvat→just Dorica→africa videre→vide rdictum→dictum Berodach→merodach
v2	306	55	11	Viae→time quibus→quis ipse→case incedit→inherit quibus→quis homines→dominus vult→must aiei→aben Aioq→amoz voog→room Croesus→cross
v2	345	58	11	deinen→seine Bissen→listen rotunde→round lucis→quis restat→rest meridies→mercies expectat→expect tibi→time dabit→wait Driessen→dresses ossa→loss
v1	95	6	11	Deus→days agit→suit propheta→prophet oblivit→oblivion testimonio→testimony manet→make eadem→made quaestio→question ista→data erit→evil intelligat→intelligent
v2	377	60	11	Strabo→straw Visn→view TGIB→this ibsi→isai hnata→data Tacitus→tacit Herod's→herds Credat→great Judaeus→judges zles→sees mysticis→mystical
v1	213	10	10	Gibeah→sibmah Stadt→seat Laish→last Laish→last Laish→last Laish→last Anata→data clivity→activity niras→firs misera→mise
v1	245	13	10	fiBiBs→ibis OQOV→prov avol→evil portae→mortal principum→principal voluntarii→voluntary aperite→appetite meine→mean sich→sins Pforte→fore
v1	310	15	10	Dimon→zion Dimon→zion Dimon→zion Dimon→zion Dimon→zion Arnon→iron Dimon→zion Dimon→zion Admah→admit Admah→admit
v1	332	17	10	raits→acts Horesh→fresh goim→room EJin→evil Evaioi→evasion aratra→arabia Sisera→misery Barak→back itsx→item itisa→lisa
v1	473	28	10	rvnos→ranks pluralis→plural can't→cast flcus→facts habet→have Athenis→thesis vocant→cant Ti'sa→lisa nsist→nest nann→many
v1	482	28	10	csrt→part orakel→oral visionis→vision significat→significant vulgo→vulg avoir→void DITU→with alia→also Jrrn→turn falsity→falsely
v1	517	30	10	dederit→desert gibt→give euch→each dedit→deut panem→page arctum→dictum aquam→equal modice→mode doctorem→doctors tuum→them
v1	567	34	10	tles→this spinis→sins Virgil→virgin spinis→sins surgit→suit acutis→acts SSBa→asia isii→isai Weide→were gramen→frame
v2	8	40	10	omnes→ones atque→true incidit→incident agros→arts hunc→hand alii→also proximis→proximity J'PS→jews raur→four Lehrg→learn
v2	170	49	10	JBSE→just Christo→christ Corpore→compare Scripiura→scripture mentionem→mention fieri→fire quae→rule Caput→cast quae→rule vero→very
v2	219	51	10	ofch→each eine→sins Lehre→were meine→mean Lehre→were EBTSE→else rnin→pain rrsx→rest CIBS→sins lixb→like
v2	258	53	10	s'ln→span frurn→four uwios→union fywr→four Martini→margin sciens→sins Martini→margin ntaa→near Martini→margin iriT→suit
v2	275	53	10	Martini→margin tini→sins tpsn→then Ktoa→know anbis→ants N'jn→noun Nitta→ninth tfitts→titus Ntba→nebo Ktoi→know
v2	352	59	10	laltl→last invocet→innocent willino→willing Hensler→hender voco→vice preferreth→preferred aara→part bona→both iriti→writ Nichts→night
v1	94	6	10	tamen→then KnovTe→note Videte→vide visionem→vision Angusti→august iterum→term Wetstein→western vrag→vulg oQav→oral vovv→move
v2	437	64	10	Poole's→pools bten→then susii→suit aegre→were homines→dominus nihil→nail scribere→scribe quae→rule ipsi→isai esse→less
v1	190	10	9	tence→once regna→rent regna→rent idoli→idol Gotzen→golden Gotzen→golden personae→person requirit→require veritas→merits
v1	255	13	9	Huet→must PBiat→beat TIBIK→ibis npix→nail Zohar→roar Ppix→pain ihEix→heir seltene→sentence VBIX→vain
v1	313	16	9	Arnon→iron edaces→races Virgil→virgin axia→asia nisa→isai Arnon→iron rnsa→rest Arnon→iron Arnon→iron
v1	26	2	9	certa→testa usus→thus nunc→none Virgil→virgin Ovid→evil Georg→glory coulters→counter Rosen→rome Hendew→hence
v1	27	2	9	Deyling→dying Sacr→sake Hendew→hence sicut→sick olim→omit oriente→oriental Engt→ment marg→part ftjts→facts
v1	30	2	9	latny→many diis→this digiti→dignity digiti→dignity betet→been vergib→verb ihnen→then nicht→rich Mensch→menace
v1	372	20	9	Sfia→suit latfi→late Egypten→egypt igno→into Sargon→pardon Thebes→thes Marsham→marshy Sargon→pardon siton→zion
v1	507	30	9	Hanes→have Tanis→this Hanes→have Awaig→away Hnes→sees Ehnes→thes Hanes→have Hanes→have Hanes→have
v2	91	44	9	WTOC→whom tytv→type Zsvs→uses caii→pain Dbte→data Christi→christ nihil→nail majus→mass esse→less
v2	242	52	9	Arrian→syrian wpov→upon eywv→eyes avide→hide nudata→data Tydeus→types Statms→state humeros→numerous ijni→isai
v2	247	52	9	morft→more Comm→room Akiba→asia Bolten→often disant→distant Philologico→philological critica→critic Rostock→stock Christologie→christology
v2	263	53	9	Greece→grace rrjg→ring orra→ezra Qeov→quod xaza→data spaBrt→part liess→less liess→less posuit→suit
v1	93	6	9	Isend→used dicit→tacit voluntas→voluntary nobis→ibis ibit→suit pluralis→plural sumus→suits naturam→nature sumus→suits
v2	456	65	9	preters→peter sLuo→soul na'a→data nichts→night anders→under TQan→then Meni→mean Meni→mean Meni→mean
v2	492	66	9	gentcs→ments Africam→africa Philae→pile Greece→grace Ionia→india Aristo→arise phanes→hands UQOL→upon precedino→preceding
v1	121	7	9	foreseen→foresee Rosenrmiller→rosenmuller srai→span Hagar→hear rtrs→ears nfinp→fine sagt→page seinen→seen Namen→same
v1	160	9	9	universam→universe sedet→sees Hensler→hender Bauer→base versa→very jnpi→anti ifsi→isai iina→sins Hensler→hender
v2	37	later-introduction	9	Christo→christ Corpore→compare Scriptura→scripture mentionem→mention fieri→fire quae→rule Caput→cast quae→rule vero→very
v1	14	1	8	inno→into oppresso→oppress corruptum→corrupt facite→fact contend→context agite→give enim→evil Jehova→jehovah
v1	17	1	8	Symm→same Waisen→wise halten→eaten kein→been deine→wine deine→wine Herren→here Narren→narrow
v1	221	11	8	odours→doers Hensler→hender irmn→army Nihil→nail nisi→isai spirabit→spirit odour→four odour→four
v1	258	13	8	Madai→made Japhet→tophet Dejoces→denotes vfias→firs olda→bold ovrs→over Ipol→upon vpaTa→data
v1	278	14	8	rsiaa→asia excisus→exists dejectus→rejects terram→term Iongum→tongue esset→else omnia→omit iabn→aben
v1	283	14	8	iterum→term propheta→prophet regem→seem deridet→decide siMi'an→similar deinem→seine klug→king werden→were
v1	289	14	8	nepos→ness isia→idea tempus→tempt nxsx→ness Abgrund→abound Nichts→night laajn→lean terens→terms
v1	317	16	8	njoa→noah ganz→gone muros→mars muros→mars cocti→cocc lateris→later tniD→this nichts→night
v1	38	2	8	Origen→arisen quia→suit excelsus→excess ipse→case Lyranus→tyrants wisset→wise nicht→rich hoch→holy
v1	430	25	8	Virgil→virgin muris→mars Capellus→cappellus totam→total Frato→fate TOfi→town paix→page QVit→evil
v1	479	28	8	istb→into Gebot→nebo Gebot→nebo Verbot→verb Verbot→verb Satz→sake Satz→sake dtti→data
v1	489	28	8	VTTO→into tp't→that ferro→hero mortales→mortal vertere→venture terram→term jFor→four semina→seine
v1	40	3	8	vovia→void clarum→alarm Gemeine→genuine falsa→also Judaeis→judges pariter→writer senem→sees Luth→with
v1	51	3	8	philologico→philological criticus→critic Jesai→isai Alberti→albert Lugd→land Braut→beat isti→into caiB→pain
v1	515	30	8	nolloi→follow omnes→ones nsrn→turn afiiua→africa BSCE→back ruhrt→hurt sich→sins nicht→rich
v1	527	30	8	npisn→noise ranxo→rank hesterno→western gestern→gesen Wltn→with usti→must rs'n→ruin Grube→true
v1	562	34	8	recom→room penses→sense contend→context nsix→asia Idumean→idumea Latium→latin Comines→comes Nero→very
v1	566	34	8	nobiles→noble heroes→here recolent→recent Horites→rites o'nh→oath Petra→ezra JrmB→army Horites→rites
v1	603	37	8	issn→isai Knappen→happen ecce→each illi→will ventum→tantum Libnah→sibmah embassador→ambassadors eventu→even
v1	617	37	8	asna→asia ab'ia→asia plify→pity Vilringa→vitringa Pnst→part rEip→read bsns→sins n'sp→ness
v1	619	37	8	monies→ones amnes→ones fregi→free Alpes→lies Padum→paul hausi→haps amnes→ones iiss→sins
v1	646	39	8	Hezckiah→hezekiah satthi→saith sottj→sort Berodach→merodach Bero→very dach→days Medorach→merodach Aramean→arabian
