vol	page	chapter	n	suspects
v2	40	41	2	pE'n→been m'sB→must
v2	43	41	2	pNia→pain Melek→meet
v2	52	42	2	clamour→labour clamour→labour
v2	55	42	2	feeep→keep rn'ia→india
v2	57	42	2	II'K→sick rvis→this
v2	59	42	2	foreseen→foresee foresaw→forest
v2	66	42	2	dbira→bird anc'→once
v2	67	42	2	m'jn→mean salce→sake
v2	68	42	2	tcrgo→targ rnin→pain
v2	70	43	2	downfal→downfall attah→altar
v2	83	43	2	ranj→many olah→alas
v2	110	45	2	analo→analogy gous→thus
v2	112	45	2	rpEin→pain tiTfl→till
v2	113	45	2	ajhn→aben ofthee→thee
v2	128	46	2	nrrwn→drawn downfal→downfall
v2	131	46	2	oofs→goes personae→person
v2	135	47	2	filk→sick Rosen→rome
v2	139	47	2	saidst→said rras→read
v2	142	47	2	iriterpunction→interpunction nvsy→ness
v2	149	47	2	pedlers→dealers gipsy→lips
v2	159	48	2	wana→wine Aramean→arabian
v2	164	48	2	tibi→time goest→goes
v2	166	48	2	nisa→isai ovde→made
v2	169	48	2	nuine→wine confers→infers
v2	171	49	2	TOOV→room QUIOQ→quod
v2	174	49	2	rvirn→ruin T'sa→task
v2	191	49	2	clamour→labour clamour→labour
v2	196	49	2	p'ls→pass Urabreit→umbreit
v1	80	5	2	Joash→josh rriD→read
v1	82	5	2	multo→must dormit→omit
v2	220	51	2	downfal→downfall Croesus→cross
v2	230	51	2	Michlal→michael Jophi→josh
v2	232	52	2	Macht→each tpoi→upon
v2	243	52	2	fixri→fire rxaa→read
v2	244	52	2	rnrn→turn ttnp→tone
v2	246	52	2	sizr→sins intelliget→intelligent
v2	281	54	2	finpa→fine pluralis→plural
v2	284	54	2	Wassern→assert itfx→item
v2	286	54	2	pacificum→pacific foedus→foes
v2	291	54	2	contend→context tibi→time
v2	310	56	2	lyting→latin fni'n→union
v2	311	56	2	remem→seem brancer→branch
v2	318	56	2	revellers→travellers biia→bird
v2	320	57	2	inba→idea incedit→inherit
v2	331	57	2	contend→context ttSsa→testa
v2	343	58	2	rereward→reward talte→date
v2	348	58	2	iornn→torn rvina→ruin
v2	349	59	2	Hanc→have veniam→denial
v2	368	59	2	JXoah→josh rvns→sins
v1	90	6	2	niax→near voce→more
v1	91	6	2	quia→suit tacui→tacit
v2	381	60	2	wiedcr→wider Eicbhorn→eichhorn
v2	386	60	2	ofage→page cbis→this
v2	388	60	2	QtiJ→quid fiib→fire
v2	390	60	2	istji→isai ixarn→earn
v2	391	60	2	ipse→case subito→suit
v2	392	61	2	censuit→consult Judaeis→judges
v2	396	61	2	feian→mean fvia→evil
v2	401	61	2	ftbw→flow biia→bird
v2	410	62	2	ibpo→into jasTa→data
v2	419	63	2	rnsn→ruin Tipur→titus
v2	439	64	2	rjft→left sitti→site
v2	454	65	2	ofAchor→achor Joppa→koppe
v2	455	65	2	aftxi→anti Menij→ment
v2	461	65	2	yixn→zion fTpt→foot
v2	467	65	2	Tnrn→then orif→omit
v2	474	66	2	nbria→syria Horace→race
v2	481	66	2	btrn→been rfcn→race
v2	483	66	2	TfcS→this Gtmss→gems
v1	105	7	2	tection→action Nalways→always
v1	123	7	2	facto→acts ststo→state
v1	137	8	2	tmmanuelj→immanuel Aquinas→aquila
v1	149	8	2	snaa→span tijps→lips
v1	168	9	2	mittet→matter falsity→falsely
v1	20	introduction	2	mocle→more pavta→part
v1	24	introduction	2	dwss→days iQoq→idol
v1	27	introduction	2	menced→hence overthrown→overthrow
v1	54	introduction	2	ofLowth→lowth Jebb→verb
v1	56	introduction	2	undertaken→undertakes Alexandria→alexandrian
v1	62	introduction	2	Jsai→said Poesi→goes
v1	63	introduction	2	Vogel→joel Hensler→hender
v1	70	introduction	2	xxvm→xxiv xxxm→xxiv
v1	71	introduction	2	terra→ezra firma→form
v1	76	introduction	2	priori→priority posteriori→posterior
v2	20	later-introduction	2	verbis→verb Sardis→wards
v2	23	later-introduction	2	versa→very Comm→room
v2	28	later-introduction	2	esta→data blishing→blessing
v2	30	later-introduction	2	foreseen→foresee Zephaniah→zechariah
v2	42	later-introduction	2	desul→deut reduci→reduce
v2	44	later-introduction	2	apostacy→apostasy dieth→with
v1	2	1	1	rttn→ruin
v1	6	1	1	ventum→tantum
v1	182	10	1	Oreb→more
v1	185	10	1	inba→idea
v1	216	10	1	rnse→race
v1	257	13	1	fiten→fire
v1	336	17	1	sicut→sick
v1	355	19	1	Onias→ones
v1	364	19	1	tfnsx→tense
v1	37	2	1	cavernas→caverns
v1	373	20	1	ttSw→task
v1	376	21	1	Cpbn→span
v1	387	22	1	sttsa→sets
v1	390	22	1	aiffl→awful
v1	392	22	1	tothe→both
v1	393	22	1	revellers→travellers
v1	397	22	1	fias→sins
v1	399	22	1	datt→part
v1	400	22	1	hang→have
v1	404	23	1	assD→used
v1	417	24	1	xxvn→oxen
v1	419	24	1	psfn→pain
v1	428	24	1	risab→isai
v1	431	25	1	fisn→fire
v1	434	25	1	nsab→isai
v1	441	26	1	aaiaa→asia
v1	463	27	1	biniz→bind
v1	464	27	1	contend→context
v1	468	27	1	Gese'nius→gesenius
v1	485	28	1	CEIE→were
v1	487	28	1	applic→apply
v1	500	29	1	seyd→head
v1	502	29	1	iirT→part
v1	503	29	1	iinp→sins
v1	506	30	1	agravation→aggravation
v1	512	30	1	nson→upon
v1	514	30	1	rosiaS→josiah
v1	531	31	1	ittJ→into
v1	535	32	1	hfes→sees
v1	538	32	1	trirstt→thirst
v1	539	32	1	Chardin→chain
v1	544	33	1	Clerictis→clericus
v1	545	33	1	hrix→heir
v1	547	33	1	won't→wont
v1	554	33	1	adjeclive→adjective
v1	555	33	1	forgiven→forgive
v1	557	34	1	agros→arts
v1	574	34	1	terra→ezra
v1	575	35	1	nstn→noun
v1	578	35	1	vGoi→void
v1	595	36	1	nbiu→ibis
v1	608	37	1	levah→lead
v1	613	37	1	pianx→plan
v1	616	37	1	rbira→bird
v1	621	37	1	t'ley→they
v1	622	37	1	nxft→left
v1	625	37	1	nbbb→nebo
v1	630	38	1	Ahab→that
v1	633	38	1	fcsn→fish
v1	639	38	1	pres→sees
v1	641	38	1	Ahab→that
v1	642	38	1	isin→sins
v1	643	38	1	loth→with
v1	649	39	1	Zedekiah→hezekiah
v2	3	40	1	ntion→zion
v2	4	40	1	rrrn→turn
v2	7	40	1	unpoetical→poetical
v2	28	40	1	rean→head
v2	29	40	1	inscru→insert
v2	32	41	1	tthn→then
v2	38	41	1	seelc→sees
v2	41	41	1	fiQti→fifty
v2	58	42	1	paid→page
v2	69	42	1	iram→from
v2	80	43	1	IJehovah→jehovah
v2	81	43	1	Stiari→star
v2	82	43	1	fwor→from
v2	86	43	1	pattah→path
v2	105	44	1	nuin→turn
v2	109	45	1	dumbis→dumb
v2	111	45	1	Croesus→cross
v2	118	45	1	itfsa→infra
v2	121	45	1	fleeing→seeing
v2	129	46	1	Florus→forms
v2	132	46	1	Stiere→tire
v2	133	46	1	ighteousness→righteousness
v2	136	47	1	tnito→into
v2	138	47	1	ijrt→part
v2	146	47	1	Vilringa→vitringa
v2	152	48	1	downfal→downfall
v2	155	48	1	nirj→fire
v2	156	48	1	eventum→event
v2	158	48	1	vpos→upon
v2	161	48	1	Gadates→gates
v2	162	48	1	personae→person
v2	167	48	1	Ti'S→this
v2	172	49	1	BBEE→been
v2	173	49	1	brino→ring
v2	185	49	1	SIHSB→sins
v2	189	49	1	sfca→such
v2	194	49	1	thry→this
v1	65	5	1	kindied→indeed
v1	74	5	1	prese→tree
v2	203	50	1	loyov→look
v2	204	50	1	foresaw→forest
v2	206	50	1	avrov→prov
v2	208	50	1	Gewand→ewald
v2	217	51	1	sich→sins
v2	226	51	1	MS'S→uses
v2	238	52	1	issn→isai
v2	241	52	1	propheticum→prophetic
v2	260	53	1	afie→fire
v2	279	54	1	nbws→jews
v2	290	54	1	fxso→also
v2	293	54	1	regimine→regimen
v2	296	55	1	recognis→recognise
v2	300	55	1	rvna→rank
v2	308	55	1	sirj→sins
v2	312	56	1	Fremde→free
v2	313	56	1	vialls→calls
v2	329	57	1	IBsi→isai
v2	334	57	1	an'ia→anti
v2	337	58	1	contend→context
v2	354	59	1	MtiAe→time
v2	358	59	1	desole→sole
v1	85	6	1	aggra→aura
v1	92	6	1	forgiven→forgive
v2	370	60	1	Newman→german
v2	371	60	1	tbepast→beast
v2	384	60	1	thcc→this
v2	387	60	1	rvrj→rare
v2	397	61	1	laymen→lame
v2	400	61	1	conferred→inferred
v2	402	61	1	acquitted→acquired
v2	403	61	1	ttmas→times
v2	404	62	1	salvator→salvation
v2	406	62	1	diadtm→diadem
v2	408	62	1	grata→data
v2	417	63	1	SUJK→such
v2	429	63	1	Hitzio→hitz
v2	431	63	1	parvum→targum
v2	433	63	1	tabtea→taste
v2	436	64	1	praeterite→preterite
v2	442	64	1	ianp→many
v2	444	65	1	Moshe→more
v2	446	65	1	nisa→isai
v2	447	65	1	vatis→vain
v2	457	65	1	S'nn→sins
v2	459	65	1	bidden→burden
v2	460	65	1	rnrn→turn
v2	463	65	1	tYhsn→then
v2	465	65	1	rrrp→rare
v2	469	66	1	cnmal→coal
v2	491	66	1	rixa→rich
v2	496	66	1	taJce→take
v1	101	7	1	Elath→each
v1	102	7	1	ftni→fine
v1	107	7	1	frfi→from
v1	122	7	1	ciently→gently
v1	134	7	1	Kiaft→lift
v1	138	8	1	srjrp→sharp
v1	146	8	1	nsis→this
v1	178	9	1	iirx→fire
v1	17	introduction	1	priori→priority
v1	22	introduction	1	officio→office
v1	28	introduction	1	Joash→josh
v1	31	introduction	1	Bentley→gently
v1	42	introduction	1	Clerc→cler
v1	49	introduction	1	facie→race
v1	50	introduction	1	Medo→mean
v1	51	introduction	1	Divina→giving
v1	53	introduction	1	paid→page
v1	60	introduction	1	Clerc→cler
v1	65	introduction	1	eventu→even
v1	67	introduction	1	followedby→followed
v1	68	introduction	1	HezeJciah→hezekiah
v1	72	introduction	1	xxxm→xxiv
v2	15	later-introduction	1	condemna→condemn
v2	16	later-introduction	1	priori→priority
v2	25	later-introduction	1	asumption→resumption
v2	27	later-introduction	1	principii→principal
v2	39	later-introduction	1	recom→room
v2	9	later-preface	1	Cyro→tyre
